Class,URL,X,Y,Width,Height,Location
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177707/HAW-4241-Orthophoto_10_4.jpg,751,926,48,41,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177708/HAW-4241-Orthophoto_10_5.jpg,509,29,51,59,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177708/HAW-4241-Orthophoto_10_5.jpg,846,932,27,43,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177709/HAW-4241-Orthophoto_10_6.jpg,570,842,30,58,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177709/HAW-4241-Orthophoto_10_6.jpg,452,857,39,32,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177709/HAW-4241-Orthophoto_10_6.jpg,496,875,24,35,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177709/HAW-4241-Orthophoto_10_6.jpg,484,746,54,46,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177709/HAW-4241-Orthophoto_10_6.jpg,695,811,26,43,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177709/HAW-4241-Orthophoto_10_6.jpg,926,70,27,54,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177709/HAW-4241-Orthophoto_10_6.jpg,387,110,33,52,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177710/HAW-4241-Orthophoto_10_7.jpg,262,688,26,18,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177710/HAW-4241-Orthophoto_10_7.jpg,504,50,39,28,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177710/HAW-4241-Orthophoto_10_7.jpg,560,84,18,25,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177711/HAW-4241-Orthophoto_10_8.jpg,27,772,29,38,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177711/HAW-4241-Orthophoto_10_8.jpg,112,365,35,32,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177711/HAW-4241-Orthophoto_10_8.jpg,242,298,49,37,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177711/HAW-4241-Orthophoto_10_8.jpg,557,546,34,46,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177711/HAW-4241-Orthophoto_10_8.jpg,275,467,37,24,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177711/HAW-4241-Orthophoto_10_8.jpg,5,75,21,40,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177711/HAW-4241-Orthophoto_10_8.jpg,833,6,40,39,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177712/HAW-4241-Orthophoto_10_9.jpg,321,870,48,23,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177712/HAW-4241-Orthophoto_10_9.jpg,27,353,45,38,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177713/HAW-4241-Orthophoto_11_4.jpg,479,245,29,62,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177715/HAW-4241-Orthophoto_11_5.jpg,251,861,32,37,"Hawaii, HI, USA"
tripneustes_gratilla,https://colo.tator.io/fathomnet-public/52/153/10177715/HAW-4241-Orthophoto_11_5.jpg,922,52,78,77,"Hawaii, HI, USA"
tripneustes_gratilla,https://colo.tator.io/fathomnet-public/52/153/10177716/HAW-4241-Orthophoto_11_6.jpg,155,35,70,78,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177716/HAW-4241-Orthophoto_11_6.jpg,829,36,27,31,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177717/HAW-4241-Orthophoto_11_7.jpg,12,178,60,49,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177717/HAW-4241-Orthophoto_11_7.jpg,731,394,39,34,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177717/HAW-4241-Orthophoto_11_7.jpg,842,439,35,55,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177717/HAW-4241-Orthophoto_11_7.jpg,392,175,44,58,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177717/HAW-4241-Orthophoto_11_7.jpg,460,139,40,48,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177717/HAW-4241-Orthophoto_11_7.jpg,251,358,35,48,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177717/HAW-4241-Orthophoto_11_7.jpg,975,215,25,24,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177717/HAW-4241-Orthophoto_11_7.jpg,391,752,34,29,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177717/HAW-4241-Orthophoto_11_7.jpg,920,739,20,33,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177717/HAW-4241-Orthophoto_11_7.jpg,555,489,58,35,"Hawaii, HI, USA"
tripneustes_gratilla,https://colo.tator.io/fathomnet-public/52/153/10177718/HAW-4241-Orthophoto_11_8.jpg,482,245,51,51,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177718/HAW-4241-Orthophoto_11_8.jpg,299,353,41,26,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177718/HAW-4241-Orthophoto_11_8.jpg,1,220,37,52,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177718/HAW-4241-Orthophoto_11_8.jpg,560,1,122,51,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177718/HAW-4241-Orthophoto_11_8.jpg,601,448,35,52,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177719/HAW-4241-Orthophoto_11_9.jpg,157,981,30,17,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177719/HAW-4241-Orthophoto_11_9.jpg,197,572,34,42,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177719/HAW-4241-Orthophoto_11_9.jpg,409,542,38,25,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177720/HAW-4241-Orthophoto_12_4.jpg,922,533,42,42,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177720/HAW-4241-Orthophoto_12_4.jpg,861,480,23,26,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177721/HAW-4241-Orthophoto_12_5.jpg,809,691,42,54,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177721/HAW-4241-Orthophoto_12_5.jpg,223,609,49,48,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177721/HAW-4241-Orthophoto_12_5.jpg,703,814,49,36,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177721/HAW-4241-Orthophoto_12_5.jpg,364,411,18,18,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177721/HAW-4241-Orthophoto_12_5.jpg,1,936,34,36,"Hawaii, HI, USA"
tripneustes_gratilla,https://colo.tator.io/fathomnet-public/52/153/10177721/HAW-4241-Orthophoto_12_5.jpg,353,903,44,29,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177721/HAW-4241-Orthophoto_12_5.jpg,900,7,25,33,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177722/HAW-4241-Orthophoto_12_6.jpg,1,875,220,125,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177722/HAW-4241-Orthophoto_12_6.jpg,97,689,47,48,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177722/HAW-4241-Orthophoto_12_6.jpg,321,461,36,46,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177723/HAW-4241-Orthophoto_12_7.jpg,436,663,208,240,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177723/HAW-4241-Orthophoto_12_7.jpg,253,65,74,51,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177723/HAW-4241-Orthophoto_12_7.jpg,222,122,50,43,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177723/HAW-4241-Orthophoto_12_7.jpg,422,198,38,46,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177723/HAW-4241-Orthophoto_12_7.jpg,414,78,38,54,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177723/HAW-4241-Orthophoto_12_7.jpg,59,150,29,39,"Hawaii, HI, USA"
tripneustes_gratilla,https://colo.tator.io/fathomnet-public/52/153/10177725/HAW-4241-Orthophoto_12_8.jpg,790,207,78,90,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177726/HAW-4241-Orthophoto_12_9.jpg,47,39,56,39,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177726/HAW-4241-Orthophoto_12_9.jpg,186,2,34,40,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177726/HAW-4241-Orthophoto_12_9.jpg,608,442,52,43,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177727/HAW-4241-Orthophoto_13_4.jpg,352,602,30,29,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177727/HAW-4241-Orthophoto_13_4.jpg,859,711,25,24,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177728/HAW-4241-Orthophoto_13_5.jpg,166,836,183,116,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177728/HAW-4241-Orthophoto_13_5.jpg,551,426,33,20,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177728/HAW-4241-Orthophoto_13_5.jpg,900,503,34,51,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177728/HAW-4241-Orthophoto_13_5.jpg,890,457,20,30,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177728/HAW-4241-Orthophoto_13_5.jpg,333,336,27,22,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177729/HAW-4241-Orthophoto_13_6.jpg,583,44,37,45,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177729/HAW-4241-Orthophoto_13_6.jpg,39,1,171,53,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177729/HAW-4241-Orthophoto_13_6.jpg,187,145,22,43,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177729/HAW-4241-Orthophoto_13_6.jpg,113,246,29,34,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177729/HAW-4241-Orthophoto_13_6.jpg,533,228,27,17,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177729/HAW-4241-Orthophoto_13_6.jpg,942,231,58,60,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177729/HAW-4241-Orthophoto_13_6.jpg,356,202,80,124,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177729/HAW-4241-Orthophoto_13_6.jpg,175,380,30,40,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177729/HAW-4241-Orthophoto_13_6.jpg,72,323,25,19,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177729/HAW-4241-Orthophoto_13_6.jpg,629,575,26,41,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177729/HAW-4241-Orthophoto_13_6.jpg,633,305,33,26,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177730/HAW-4241-Orthophoto_13_7.jpg,753,109,20,33,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177731/HAW-4241-Orthophoto_13_8.jpg,505,148,54,35,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177731/HAW-4241-Orthophoto_13_8.jpg,572,98,38,38,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177731/HAW-4241-Orthophoto_13_8.jpg,29,29,33,39,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177731/HAW-4241-Orthophoto_13_8.jpg,849,631,52,34,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177731/HAW-4241-Orthophoto_13_8.jpg,513,874,31,40,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177732/HAW-4241-Orthophoto_13_9.jpg,149,752,41,28,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177732/HAW-4241-Orthophoto_13_9.jpg,427,720,43,33,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177732/HAW-4241-Orthophoto_13_9.jpg,503,667,36,31,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177732/HAW-4241-Orthophoto_13_9.jpg,265,748,35,46,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177732/HAW-4241-Orthophoto_13_9.jpg,62,672,32,33,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177733/HAW-4241-Orthophoto_14_4.jpg,656,366,31,36,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177733/HAW-4241-Orthophoto_14_4.jpg,478,414,43,38,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177735/HAW-4241-Orthophoto_14_5.jpg,861,14,22,25,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177735/HAW-4241-Orthophoto_14_5.jpg,608,927,21,28,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177736/HAW-4241-Orthophoto_14_6.jpg,283,311,29,42,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177736/HAW-4241-Orthophoto_14_6.jpg,90,368,22,38,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177736/HAW-4241-Orthophoto_14_6.jpg,216,444,31,35,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177737/HAW-4241-Orthophoto_14_7.jpg,573,816,50,42,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177737/HAW-4241-Orthophoto_14_7.jpg,586,224,75,78,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177737/HAW-4241-Orthophoto_14_7.jpg,844,226,53,65,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177737/HAW-4241-Orthophoto_14_7.jpg,756,522,51,30,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177737/HAW-4241-Orthophoto_14_7.jpg,452,880,88,35,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177738/HAW-4241-Orthophoto_14_8.jpg,447,141,83,53,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177738/HAW-4241-Orthophoto_14_8.jpg,10,793,81,47,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177738/HAW-4241-Orthophoto_14_8.jpg,349,497,73,121,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177738/HAW-4241-Orthophoto_14_8.jpg,397,545,34,35,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177739/HAW-4241-Orthophoto_14_9.jpg,213,528,82,72,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177740/HAW-4241-Orthophoto_15_4.jpg,639,887,45,32,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177740/HAW-4241-Orthophoto_15_4.jpg,605,231,25,37,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177740/HAW-4241-Orthophoto_15_4.jpg,235,862,26,30,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177741/HAW-4241-Orthophoto_15_5.jpg,987,571,13,31,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177742/HAW-4241-Orthophoto_15_7.jpg,551,727,41,36,"Hawaii, HI, USA"
tripneustes_gratilla,https://colo.tator.io/fathomnet-public/52/153/10177742/HAW-4241-Orthophoto_15_7.jpg,708,63,75,55,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177743/HAW-4241-Orthophoto_15_8.jpg,496,578,25,37,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177743/HAW-4241-Orthophoto_15_8.jpg,530,567,53,57,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177743/HAW-4241-Orthophoto_15_8.jpg,584,200,71,41,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177743/HAW-4241-Orthophoto_15_8.jpg,446,257,55,23,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177745/HAW-4241-Orthophoto_15_9.jpg,62,887,72,49,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177745/HAW-4241-Orthophoto_15_9.jpg,368,775,24,38,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177746/HAW-4241-Orthophoto_16_3.jpg,791,754,97,44,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177746/HAW-4241-Orthophoto_16_3.jpg,962,905,17,45,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177747/HAW-4241-Orthophoto_16_4.jpg,849,6,24,40,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177747/HAW-4241-Orthophoto_16_4.jpg,223,279,17,28,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177747/HAW-4241-Orthophoto_16_4.jpg,492,292,38,39,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177747/HAW-4241-Orthophoto_16_4.jpg,49,602,41,42,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177747/HAW-4241-Orthophoto_16_4.jpg,430,498,56,33,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177747/HAW-4241-Orthophoto_16_4.jpg,375,539,21,24,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177747/HAW-4241-Orthophoto_16_4.jpg,55,492,45,32,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177747/HAW-4241-Orthophoto_16_4.jpg,935,523,34,34,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177747/HAW-4241-Orthophoto_16_4.jpg,378,819,38,21,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177747/HAW-4241-Orthophoto_16_4.jpg,107,809,31,33,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177747/HAW-4241-Orthophoto_16_4.jpg,140,862,34,29,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177748/HAW-4241-Orthophoto_16_5.jpg,168,48,145,144,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177748/HAW-4241-Orthophoto_16_5.jpg,192,23,37,27,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177748/HAW-4241-Orthophoto_16_5.jpg,25,172,109,43,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177748/HAW-4241-Orthophoto_16_5.jpg,270,355,104,64,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177748/HAW-4241-Orthophoto_16_5.jpg,816,766,184,135,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177748/HAW-4241-Orthophoto_16_5.jpg,930,191,47,51,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177748/HAW-4241-Orthophoto_16_5.jpg,799,479,28,27,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177748/HAW-4241-Orthophoto_16_5.jpg,657,550,33,25,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177748/HAW-4241-Orthophoto_16_5.jpg,742,528,49,44,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177748/HAW-4241-Orthophoto_16_5.jpg,551,898,48,46,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177749/HAW-4241-Orthophoto_16_6.jpg,109,553,73,66,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177749/HAW-4241-Orthophoto_16_6.jpg,208,748,40,31,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177749/HAW-4241-Orthophoto_16_6.jpg,375,520,32,32,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177749/HAW-4241-Orthophoto_16_6.jpg,875,693,24,16,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177749/HAW-4241-Orthophoto_16_6.jpg,1,813,34,57,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177750/HAW-4241-Orthophoto_16_7.jpg,934,437,66,55,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177750/HAW-4241-Orthophoto_16_7.jpg,452,707,35,48,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177750/HAW-4241-Orthophoto_16_7.jpg,639,974,25,26,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177750/HAW-4241-Orthophoto_16_7.jpg,948,198,25,30,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177750/HAW-4241-Orthophoto_16_7.jpg,946,123,33,27,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177751/HAW-4241-Orthophoto_16_8.jpg,700,139,82,61,"Hawaii, HI, USA"
heterocentrotus_mammillatus,https://colo.tator.io/fathomnet-public/52/153/10177751/HAW-4241-Orthophoto_16_8.jpg,640,302,78,50,"Hawaii, HI, USA"
echinometra_mathaei,https://colo.tator.io/fathomnet-public/52/153/10177751/HAW-4241-Orthophoto_16_8.jpg,626,513,29,31,"Hawaii, HI, USA"
